date,location,temperature_c,thermal_stress,vulnerability_index,historical_health_events,lag_health_events,health_impact_proxy,temperature_trend,thermal_stress_trend,future_thermal_stress,future_risk_level
2026-01-11,Ward_A,21.7,13.4,28.0,9,9,9.41,-20.7,-64.3,94.1,EXTREME
2026-01-11,Ward_A,31.0,33.6,26.6,14,14,12.57,9.3,20.200000000000003,18.0,LOW
2026-01-11,Ward_A,34.6,61.5,28.2,11,12,14.79,3.6000000000000014,27.9,36.8,LOW
2026-01-11,Ward_A,45.6,94.1,25.0,15,15,20.27,11.0,32.599999999999994,69.7,HIGH
2026-01-12,Ward_A,25.7,18.0,22.6,8,7,8.47,-19.900000000000002,-76.1,89.3,EXTREME
2026-01-12,Ward_A,32.8,36.8,23.0,11,11,12.0,7.099999999999998,18.799999999999997,17.4,LOW
2026-01-12,Ward_A,38.3,69.7,23.4,14,14,16.62,5.5,32.900000000000006,40.5,MODERATE
2026-01-12,Ward_A,45.4,89.3,28.9,16,15,20.48,7.100000000000001,19.599999999999994,68.6,HIGH
2026-01-13,Ward_A,16.1,17.4,26.5,10,9,9.4,-29.299999999999997,-71.9,86.4,EXTREME
2026-01-13,Ward_A,28.5,40.5,27.1,11,10,12.4,12.399999999999999,23.1,23.8,LOW
2026-01-13,Ward_A,36.5,68.6,20.3,13,14,15.1,8.0,28.099999999999994,27.2,LOW
2026-01-13,Ward_A,43.4,86.4,28.5,14,14,18.92,6.899999999999999,17.80000000000001,73.0,HIGH
2026-01-14,Ward_A,22.1,23.8,26.7,10,9,9.23,-21.299999999999997,-62.60000000000001,73.7,HIGH
2026-01-14,Ward_A,31.4,27.2,24.9,10,10,10.91,9.299999999999997,3.3999999999999986,5.2,LOW
2026-01-14,Ward_A,38.6,73.0,28.9,13,12,16.48,7.200000000000003,45.8,36.0,LOW
2026-01-14,Ward_A,40.0,73.7,26.7,15,15,17.11,1.3999999999999986,0.7000000000000028,62.5,HIGH
2026-01-15,Ward_A,16.6,5.2,27.7,9,9,8.4,-23.4,-68.5,77.3,HIGH
2026-01-15,Ward_A,32.4,36.0,26.2,10,11,11.49,15.799999999999997,30.8,14.1,LOW
2026-01-15,Ward_A,36.2,62.5,21.6,11,12,13.9,3.8000000000000043,26.5,36.2,LOW
2026-01-15,Ward_A,43.2,77.3,25.9,16,15,18.43,7.0,14.799999999999997,49.9,MODERATE
2026-01-16,Ward_A,24.9,14.1,25.9,8,7,8.45,-18.300000000000004,-63.199999999999996,95.4,EXTREME
2026-01-16,Ward_A,27.9,36.2,23.5,9,9,10.0,3.0,22.1,0.0,LOW
2026-01-16,Ward_A,35.3,49.9,25.8,11,12,13.21,7.399999999999999,13.699999999999996,40.1,MODERATE
2026-01-16,Ward_A,43.7,95.4,28.3,15,14,20.55,8.400000000000006,45.50000000000001,63.6,HIGH
2026-01-17,Ward_A,18.6,0.0,27.0,7,6,7.71,-25.1,-95.4,88.5,EXTREME
2026-01-17,Ward_A,30.9,40.1,25.6,10,10,11.27,12.299999999999997,40.1,20.6,LOW
2026-01-17,Ward_A,33.6,63.6,25.0,11,10,13.97,2.700000000000003,23.5,32.2,LOW
2026-01-17,Ward_A,46.4,88.5,27.8,13,14,19.61,12.799999999999997,24.9,70.8,HIGH
2026-01-18,Ward_A,18.0,20.6,31.6,8,8,9.18,-28.4,-67.9,81.5,EXTREME
2026-01-18,Ward_A,28.1,32.2,23.1,11,11,11.35,10.100000000000001,11.600000000000001,5.3,LOW
2026-01-18,Ward_A,37.7,70.8,25.0,12,13,15.84,9.600000000000001,38.599999999999994,46.6,MODERATE
2026-01-18,Ward_A,40.4,81.5,22.7,14,13,17.62,2.6999999999999957,10.700000000000003,75.0,HIGH
2026-01-19,Ward_A,21.4,5.3,22.4,8,9,8.19,-19.0,-76.2,91.0,EXTREME
2026-01-19,Ward_A,31.7,46.6,26.3,16,15,14.17,10.3,41.300000000000004,21.2,LOW
2026-01-19,Ward_A,37.2,75.0,29.2,15,14,17.51,5.5000000000000036,28.4,27.3,LOW
2026-01-19,Ward_A,46.3,91.0,26.5,14,14,19.66,9.099999999999994,16.0,50.7,MODERATE
2026-01-20,Ward_A,17.6,21.2,26.3,11,11,9.43,-28.699999999999996,-69.8,75.9,HIGH
2026-01-20,Ward_A,32.2,27.3,24.7,8,9,10.84,14.600000000000001,6.100000000000001,21.6,LOW
2026-01-20,Ward_A,33.6,50.7,23.9,12,12,12.9,1.3999999999999986,23.400000000000002,34.7,LOW
2026-01-20,Ward_A,39.7,75.9,23.6,12,12,16.2,6.100000000000001,25.200000000000003,71.9,HIGH
2026-01-21,Ward_A,20.2,21.6,24.4,8,7,8.35,-19.500000000000004,-54.300000000000004,80.9,EXTREME
2026-01-21,Ward_A,26.3,34.7,20.5,11,11,10.49,6.100000000000001,13.100000000000001,1.7,LOW
2026-01-21,Ward_A,36.5,71.9,25.2,13,14,16.17,10.2,37.2,30.6,LOW
2026-01-21,Ward_A,40.0,80.9,23.4,14,15,17.42,3.5,9.0,70.6,HIGH
2026-01-22,Ward_A,19.2,1.7,24.0,6,5,6.37,-20.8,-79.2,97.9,EXTREME
2026-01-22,Ward_A,26.3,30.6,26.5,8,7,9.77,7.100000000000001,28.900000000000002,1.3,LOW
2026-01-22,Ward_A,38.9,70.6,23.2,13,12,16.23,12.599999999999998,39.99999999999999,48.2,MODERATE
2026-01-22,Ward_A,45.6,97.9,25.5,15,14,20.52,6.700000000000003,27.30000000000001,57.4,MODERATE
2026-01-23,Ward_A,18.2,1.3,25.9,8,8,8.0,-27.400000000000002,-96.60000000000001,86.9,EXTREME
2026-01-23,Ward_A,27.9,48.2,28.0,11,11,12.9,9.7,46.900000000000006,12.3,LOW
2026-01-23,Ward_A,34.5,57.4,22.8,10,10,12.97,6.600000000000001,9.199999999999996,50.3,MODERATE
2026-01-23,Ward_A,39.6,86.9,25.1,15,15,18.74,5.100000000000001,29.500000000000007,51.3,MODERATE
2026-01-24,Ward_A,18.2,12.3,23.3,8,8,7.61,-21.400000000000002,-74.60000000000001,91.7,EXTREME
2026-01-24,Ward_A,31.1,50.3,26.6,9,8,11.99,12.900000000000002,38.0,0.0,LOW
2026-01-24,Ward_A,35.8,51.3,28.2,13,12,14.19,4.699999999999996,1.0,35.4,LOW
2026-01-24,Ward_A,43.0,91.7,23.0,15,16,19.26,7.200000000000003,40.400000000000006,52.0,MODERATE
2026-01-25,Ward_A,18.8,0.0,24.9,8,8,8.57,-24.2,-91.7,87.3,EXTREME
2026-01-25,Ward_A,28.8,35.4,22.9,11,11,10.97,10.0,35.4,5.8,LOW
2026-01-25,Ward_A,35.9,52.0,21.5,9,9,12.66,7.099999999999998,16.6,27.5,LOW
2026-01-25,Ward_A,42.8,87.3,24.7,13,14,18.23,6.899999999999999,35.3,72.5,HIGH
2026-01-26,Ward_A,16.3,5.8,28.6,9,8,8.67,-26.499999999999996,-81.5,80.3,EXTREME
2026-04-01,Ward_B,28.3,26.2,42.9,17,18,14.38,4.0,0.09999999999999787,7.7,LOW
2026-04-01,Ward_B,36.4,62.2,48.5,19,19,19.96,8.099999999999998,36.0,26.9,LOW
2026-04-01,Ward_B,42.6,76.2,50.1,19,18,21.99,6.200000000000003,14.0,52.4,MODERATE
2026-04-02,Ward_B,18.1,7.7,45.5,15,14,12.3,-24.5,-68.5,85.0,EXTREME
2026-04-02,Ward_B,26.2,26.9,49.4,17,16,15.07,8.099999999999998,19.2,2.3,LOW
2026-04-02,Ward_B,37.3,52.4,46.0,15,14,17.43,11.099999999999998,25.5,31.6,LOW
2026-04-02,Ward_B,45.2,85.0,44.6,20,21,23.7,7.900000000000006,32.6,60.7,HIGH
2026-04-03,Ward_B,18.0,2.3,44.0,14,15,11.73,-27.200000000000003,-82.7,81.0,EXTREME
2026-04-03,Ward_B,29.9,31.6,45.1,14,14,14.34,11.899999999999999,29.3,23.5,LOW
2026-04-03,Ward_B,36.1,60.7,47.1,18,19,19.38,6.200000000000003,29.1,40.5,MODERATE
2026-04-03,Ward_B,42.3,81.0,41.9,20,21,22.18,6.199999999999996,20.299999999999997,51.9,MODERATE
2026-04-04,Ward_B,22.3,23.5,47.1,13,13,12.52,-19.999999999999996,-57.5,94.3,EXTREME
2026-04-04,Ward_B,32.2,40.5,40.3,18,18,16.28,9.900000000000002,17.0,10.8,LOW
2026-04-04,Ward_B,38.2,51.9,45.2,19,20,18.84,6.0,11.399999999999999,45.6,MODERATE
2026-04-04,Ward_B,45.3,94.3,47.2,20,21,24.83,7.099999999999994,42.4,57.1,MODERATE
2026-04-05,Ward_B,19.8,10.8,48.3,16,17,12.94,-25.499999999999996,-83.5,80.5,EXTREME
2026-04-05,Ward_B,30.2,45.6,44.3,16,17,15.57,10.399999999999999,34.8,9.3,LOW
2026-04-05,Ward_B,36.5,57.1,43.6,17,18,18.09,6.300000000000001,11.5,47.1,MODERATE
2026-04-05,Ward_B,46.1,80.5,46.6,20,19,22.88,9.600000000000001,23.4,68.2,HIGH
2026-04-06,Ward_B,21.8,9.3,46.7,11,10,11.07,-24.3,-71.2,96.6,EXTREME
2026-04-06,Ward_B,32.2,47.1,49.4,16,16,16.54,10.400000000000002,37.8,21.2,LOW
2026-04-06,Ward_B,35.5,68.2,43.9,19,19,19.87,3.299999999999997,21.1,25.3,LOW
2026-04-06,Ward_B,41.1,96.6,49.2,22,23,25.43,5.600000000000001,28.39999999999999,65.5,HIGH
2026-04-07,Ward_B,17.2,21.2,46.9,13,14,12.68,-23.900000000000002,-75.39999999999999,80.7,EXTREME
2026-04-07,Ward_B,28.5,25.3,43.8,17,17,14.83,11.3,4.100000000000001,14.7,LOW
2026-04-07,Ward_B,37.3,65.5,43.9,19,20,19.74,8.799999999999997,40.2,48.2,MODERATE
2026-04-07,Ward_B,44.6,80.7,46.0,21,21,23.35,7.300000000000004,15.200000000000003,59.3,MODERATE
2026-04-08,Ward_B,24.8,14.7,46.2,17,16,13.58,-19.8,-66.0,81.4,EXTREME
2026-04-08,Ward_B,27.5,48.2,44.1,17,17,16.13,2.6999999999999993,33.5,2.0,LOW
2026-04-08,Ward_B,35.6,59.3,42.3,19,19,18.53,8.100000000000001,11.099999999999994,48.9,MODERATE
2026-04-08,Ward_B,46.3,81.4,47.8,20,21,23.79,10.699999999999996,22.10000000000001,67.2,HIGH
2026-04-18,Ward_B,19.3,2.0,45.5,15,15,12.21,-26.999999999999996,-79.4,93.9,EXTREME
2026-04-18,Ward_B,30.9,48.9,46.8,16,17,16.69,11.599999999999998,46.9,10.9,LOW
2026-04-18,Ward_B,34.0,67.2,45.5,18,18,19.36,3.1000000000000014,18.300000000000004,36.1,LOW
2026-04-18,Ward_B,46.0,93.9,44.5,20,20,24.32,12.0,26.700000000000003,66.1,HIGH
2026-04-19,Ward_B,16.9,10.9,48.7,16,15,13.09,-29.1,-83.0,90.6,EXTREME
2026-04-19,Ward_B,30.2,36.1,45.5,17,17,15.48,13.3,25.200000000000003,9.9,LOW
2026-04-19,Ward_B,37.3,66.1,44.7,19,19,19.96,7.099999999999998,29.999999999999993,44.6,MODERATE
2026-04-19,Ward_B,40.9,90.6,42.9,21,20,23.61,3.6000000000000014,24.5,60.8,HIGH
2026-04-20,Ward_B,21.6,9.9,46.8,14,14,12.25,-19.299999999999997,-80.69999999999999,90.5,EXTREME
2026-04-20,Ward_B,27.3,44.6,43.8,16,17,15.2,5.699999999999999,34.7,22.3,LOW
2026-04-20,Ward_B,33.8,60.8,45.7,16,17,17.78,6.4999999999999964,16.199999999999996,35.4,LOW
2026-04-20,Ward_B,43.3,90.5,45.1,22,21,24.43,9.5,29.700000000000003,64.9,HIGH
2026-04-21,Ward_B,19.3,22.3,40.9,15,15,12.0,-23.999999999999996,-68.2,95.0,EXTREME
2026-04-21,Ward_B,30.1,35.4,44.6,16,15,15.22,10.8,13.099999999999998,5.2,LOW
2026-04-21,Ward_B,36.0,64.9,45.3,20,19,19.65,5.899999999999999,29.500000000000007,35.4,LOW
2026-04-21,Ward_B,45.6,95.0,47.3,22,23,25.7,9.600000000000001,30.099999999999994,58.2,MODERATE
2026-04-22,Ward_B,17.9,5.2,45.1,13,12,11.48,-27.700000000000003,-89.8,95.2,EXTREME
2026-04-22,Ward_B,32.4,35.4,39.2,18,17,15.38,14.5,30.2,22.6,LOW
2026-04-22,Ward_B,35.1,58.2,49.1,17,17,18.26,2.700000000000003,22.800000000000004,26.2,LOW
2026-04-22,Ward_B,40.8,95.2,42.6,21,22,23.94,5.699999999999996,37.0,48.5,MODERATE
2026-04-23,Ward_B,24.7,22.6,44.8,14,15,12.94,-16.099999999999998,-72.6,98.8,EXTREME
2026-04-23,Ward_B,30.1,26.2,44.5,16,15,13.74,5.400000000000002,3.599999999999998,19.9,LOW
2026-04-23,Ward_B,33.5,48.5,44.8,17,18,16.92,3.3999999999999986,22.3,35.8,LOW
2026-04-23,Ward_B,45.6,98.8,47.6,21,21,25.73,12.100000000000001,50.3,54.9,MODERATE
2026-04-24,Ward_B,24.2,19.9,40.6,18,17,13.61,-21.400000000000002,-78.9,79.8,HIGH
2026-04-24,Ward_B,32.4,35.8,44.9,19,19,16.88,8.2,15.899999999999999,9.6,LOW
2026-04-24,Ward_B,38.5,54.9,44.8,19,20,19.29,6.100000000000001,19.1,30.1,LOW
2026-04-24,Ward_B,44.6,79.8,42.9,20,19,22.53,6.100000000000001,24.9,69.0,HIGH
2026-04-25,Ward_B,19.2,9.6,46.4,12,13,11.49,-25.400000000000002,-70.2,78.4,HIGH
2026-04-25,Ward_B,30.6,30.1,43.0,16,15,14.45,11.400000000000002,20.5,20.4,LOW
2026-04-25,Ward_B,37.6,69.0,48.2,19,19,20.53,7.0,38.9,34.1,LOW
2026-04-25,Ward_B,40.9,78.4,44.4,19,18,21.14,3.299999999999997,9.400000000000006,55.5,MODERATE
2026-04-26,Ward_B,23.1,20.4,45.0,14,15,13.51,-17.799999999999997,-58.00000000000001,88.0,EXTREME
2026-04-26,Ward_B,28.2,34.1,42.7,18,18,15.28,5.099999999999998,13.700000000000003,5.7,LOW
2026-04-26,Ward_B,35.9,55.5,47.0,18,18,18.6,7.699999999999999,21.4,28.5,LOW
2026-04-26,Ward_B,43.8,88.0,46.9,20,20,23.83,7.899999999999999,32.5,51.8,MODERATE
2026-04-27,Ward_B,16.5,5.7,41.0,13,12,11.25,-27.299999999999997,-82.3,82.8,EXTREME
2026-04-27,Ward_B,27.4,28.5,44.9,15,16,14.46,10.899999999999999,22.8,0.0,LOW
2026-04-27,Ward_B,34.2,51.8,43.5,19,20,17.98,6.800000000000004,23.299999999999997,34.8,LOW
2026-04-27,Ward_B,39.1,82.8,44.1,21,22,22.66,4.899999999999999,31.0,72.4,HIGH
2026-04-28,Ward_B,16.0,0.0,51.0,13,14,12.15,-23.1,-82.8,80.0,EXTREME
2026-04-28,Ward_B,29.1,34.8,38.4,15,14,13.95,13.100000000000001,34.8,17.1,LOW
2026-04-28,Ward_B,38.2,72.4,47.3,19,18,20.43,9.100000000000001,37.60000000000001,47.3,MODERATE
2026-04-28,Ward_B,39.5,80.0,46.0,19,19,21.77,1.2999999999999972,7.599999999999994,74.9,HIGH
2026-05-09,Ward_B,18.5,17.1,42.9,15,15,12.36,-21.0,-62.9,87.0,EXTREME
2026-05-09,Ward_B,29.4,47.3,44.2,19,20,17.53,10.899999999999999,30.199999999999996,18.8,LOW
2026-05-09,Ward_B,36.5,74.9,47.0,20,20,21.44,7.100000000000001,27.60000000000001,35.9,LOW
2026-05-09,Ward_B,42.4,87.0,46.3,20,20,23.68,5.899999999999999,12.099999999999994,54.6,MODERATE
2026-05-10,Ward_B,20.9,18.8,45.2,14,15,12.88,-21.5,-68.2,77.6,HIGH
2026-05-10,Ward_B,30.9,35.9,45.2,17,17,15.39,10.0,17.099999999999998,3.6,LOW
2026-05-10,Ward_B,36.7,54.6,45.4,18,17,18.23,5.800000000000004,18.700000000000003,40.2,MODERATE
2026-05-10,Ward_B,42.6,77.6,46.2,20,19,22.06,5.899999999999999,22.999999999999993,72.3,HIGH
2026-05-11,Ward_B,17.5,3.6,43.9,15,16,12.47,-25.1,-74.0,85.0,EXTREME
2026-05-11,Ward_B,32.9,40.2,43.7,16,17,15.91,15.399999999999999,36.6,14.7,LOW
2026-05-11,Ward_B,33.2,72.3,43.7,20,20,20.22,0.30000000000000426,32.099999999999994,38.8,LOW
2026-05-11,Ward_B,40.5,85.0,45.3,19,18,21.87,7.299999999999997,12.700000000000003,73.8,HIGH
2026-05-12,Ward_B,22.0,14.7,46.8,17,18,13.67,-18.5,-70.3,80.6,EXTREME
2026-05-12,Ward_B,31.7,38.8,48.3,16,16,15.74,9.7,24.099999999999998,9.0,LOW
2026-05-12,Ward_B,38.8,73.8,44.1,18,18,20.42,7.099999999999998,35.0,31.5,LOW
2026-05-12,Ward_B,46.4,80.6,49.9,22,22,24.38,7.600000000000001,6.799999999999997,63.0,HIGH
2026-05-13,Ward_B,18.3,9.0,45.8,15,15,12.03,-28.099999999999998,-71.6,88.7,EXTREME
2026-05-13,Ward_B,31.8,31.5,49.1,18,17,16.81,13.5,22.5,13.2,LOW
2026-05-13,Ward_B,38.4,63.0,45.0,20,19,20.15,6.599999999999998,31.5,36.5,LOW
2026-05-13,Ward_B,42.6,88.7,47.6,19,18,23.49,4.200000000000003,25.700000000000003,64.8,HIGH
2026-05-14,Ward_B,21.9,13.2,44.5,15,16,12.72,-20.700000000000003,-75.5,75.8,HIGH
2026-07-06,Ward_C,31.4,29.0,70.4,23,23,19.75,9.2,10.7,0.0,LOW
2026-07-06,Ward_C,33.4,64.5,71.6,23,24,22.99,2.0,35.5,40.8,MODERATE
2026-07-06,Ward_C,46.1,95.6,68.2,27,27,30.19,12.700000000000003,31.099999999999994,66.1,HIGH
2026-07-07,Ward_C,19.5,0.0,70.1,19,19,15.45,-26.6,-95.6,93.7,EXTREME
2026-07-07,Ward_C,28.8,40.8,70.8,22,22,19.55,9.3,40.8,7.9,LOW
2026-07-07,Ward_C,35.0,66.1,70.9,27,27,25.3,6.199999999999999,25.299999999999997,51.4,MODERATE
2026-07-07,Ward_C,39.3,93.7,75.4,26,26,29.19,4.299999999999997,27.60000000000001,63.9,HIGH
2026-07-08,Ward_C,25.8,7.9,72.3,21,21,17.62,-13.499999999999996,-85.8,94.2,EXTREME
2026-07-08,Ward_C,32.1,51.4,72.3,23,24,22.06,6.300000000000001,43.5,20.6,LOW
2026-07-08,Ward_C,35.0,63.9,73.3,25,26,24.34,2.8999999999999986,12.5,48.0,MODERATE
2026-07-08,Ward_C,40.7,94.2,64.6,28,27,28.99,5.700000000000003,30.300000000000004,68.7,HIGH
2026-07-09,Ward_C,16.3,20.6,72.3,21,21,17.18,-24.400000000000002,-73.6,87.8,EXTREME
2026-07-09,Ward_C,31.2,48.0,65.8,22,22,20.67,14.899999999999999,27.4,26.3,LOW
2026-07-09,Ward_C,35.7,68.7,70.2,27,28,25.33,4.5000000000000036,20.700000000000003,34.5,LOW
2026-07-09,Ward_C,44.5,87.8,69.4,27,26,29.23,8.799999999999997,19.099999999999994,57.4,MODERATE
2026-07-10,Ward_C,25.4,26.3,73.2,22,23,18.78,-19.1,-61.5,78.8,HIGH
2026-07-10,Ward_C,32.1,34.5,69.7,22,22,20.03,6.700000000000003,8.2,13.2,LOW
2026-07-10,Ward_C,38.6,57.4,67.3,24,23,23.42,6.5,22.9,25.3,LOW
2026-07-10,Ward_C,45.0,78.8,73.1,26,26,28.0,6.399999999999999,21.4,65.9,HIGH
2026-07-11,Ward_C,24.2,13.2,72.4,21,21,17.86,-20.8,-65.6,97.6,EXTREME
2026-07-11,Ward_C,29.8,25.3,67.3,20,21,17.49,5.600000000000001,12.100000000000001,17.8,LOW
2026-07-11,Ward_C,34.5,65.9,71.9,24,25,24.1,4.699999999999999,40.60000000000001,40.1,MODERATE
2026-07-11,Ward_C,42.5,97.6,68.5,29,29,30.8,8.0,31.69999999999999,66.5,HIGH
2026-07-12,Ward_C,20.4,17.8,74.3,22,21,17.54,-22.1,-79.8,82.3,EXTREME
2026-07-12,Ward_C,29.8,40.1,72.7,20,20,19.91,9.400000000000002,22.3,11.3,LOW
2026-07-12,Ward_C,38.2,66.5,66.9,25,24,24.24,8.400000000000002,26.4,38.3,LOW
2026-07-12,Ward_C,44.7,82.3,68.2,27,27,28.67,6.5,15.799999999999997,71.9,HIGH
2026-07-13,Ward_C,25.8,11.3,71.1,21,22,17.27,-18.900000000000002,-71.0,76.0,HIGH
2026-07-13,Ward_C,26.5,38.3,72.7,24,24,21.17,0.6999999999999993,26.999999999999996,1.3,LOW
2026-07-13,Ward_C,33.5,71.9,66.7,23,23,23.83,7.0,33.60000000000001,48.1,MODERATE
2026-07-13,Ward_C,44.0,76.0,67.8,25,24,26.67,10.5,4.099999999999994,64.8,HIGH
2026-07-14,Ward_C,16.4,1.3,71.3,17,18,14.84,-27.6,-74.7,95.2,EXTREME
2026-07-14,Ward_C,32.7,48.1,70.1,21,22,20.86,16.300000000000004,46.800000000000004,16.4,LOW
2026-07-14,Ward_C,35.7,64.8,72.1,25,26,25.07,3.0,16.699999999999996,47.0,MODERATE
2026-07-14,Ward_C,39.3,95.2,75.4,26,26,29.88,3.5999999999999943,30.400000000000006,61.5,HIGH
2026-08-01,Ward_C,17.9,16.4,71.3,20,21,16.62,-21.4,-78.80000000000001,90.4,EXTREME
2026-08-01,Ward_C,28.4,47.0,68.1,24,23,20.55,10.5,30.6,15.4,LOW
2026-08-01,Ward_C,36.3,61.5,69.9,23,23,23.29,7.899999999999999,14.5,26.1,LOW
2026-08-01,Ward_C,45.6,90.4,66.5,25,26,28.98,9.300000000000004,28.900000000000006,59.3,MODERATE
2026-08-02,Ward_C,17.8,15.4,69.9,23,22,17.52,-27.8,-75.0,86.7,EXTREME
2026-08-02,Ward_C,28.5,26.1,68.2,21,20,18.1,10.7,10.700000000000001,2.9,LOW
2026-08-02,Ward_C,35.9,59.3,67.8,22,21,22.37,7.399999999999999,33.199999999999996,38.3,LOW
2026-08-02,Ward_C,39.7,86.7,68.6,29,28,28.66,3.8000000000000043,27.400000000000006,62.1,HIGH
2026-08-15,Ward_C,22.8,2.9,71.4,21,22,16.83,-16.900000000000002,-83.8,88.9,EXTREME
2026-08-15,Ward_C,28.8,38.3,72.1,24,25,20.66,6.0,35.4,20.7,LOW
2026-08-15,Ward_C,35.3,62.1,74.7,26,25,24.13,6.4999999999999964,23.800000000000004,28.3,LOW
2026-08-15,Ward_C,43.5,88.9,71.9,27,27,29.31,8.200000000000003,26.800000000000004,71.5,HIGH
2026-08-16,Ward_C,20.2,20.7,73.5,22,22,17.87,-23.3,-68.2,82.1,EXTREME
2026-08-16,Ward_C,32.5,28.3,71.0,22,22,19.64,12.3,7.600000000000001,17.8,LOW
2026-08-16,Ward_C,35.3,71.5,70.7,26,27,25.44,2.799999999999997,43.2,39.0,LOW
2026-08-16,Ward_C,46.0,82.1,67.9,25,25,27.25,10.700000000000003,10.599999999999994,54.0,MODERATE
2026-08-17,Ward_C,20.4,17.8,72.6,22,22,17.58,-25.6,-64.3,97.2,EXTREME
2026-08-17,Ward_C,27.2,39.0,75.1,23,22,20.3,6.800000000000001,21.2,18.1,LOW
2026-08-17,Ward_C,35.4,54.0,69.4,23,23,22.67,8.2,15.0,39.5,LOW
2026-08-17,Ward_C,43.6,97.2,68.8,27,28,30.36,8.200000000000003,43.2,71.1,HIGH
2026-08-18,Ward_C,23.9,18.1,66.8,19,19,16.68,-19.700000000000003,-79.1,92.8,EXTREME
2026-08-18,Ward_C,28.2,39.5,73.5,21,21,19.88,4.300000000000001,21.4,15.7,LOW
2026-08-18,Ward_C,36.8,71.1,69.9,26,26,25.63,8.599999999999998,31.599999999999994,27.9,LOW
