date,location,temperature_c,thermal_stress,vulnerability_index,historical_health_events,lag_health_events,health_impact_proxy
2026-04-02,Ward_B,37.3,52.4,46.0,15,14,17.43
2026-04-02,Ward_B,45.2,85.0,44.6,20,21,23.7
2026-04-03,Ward_B,18.0,2.3,44.0,14,15,11.73
2026-04-03,Ward_B,29.9,31.6,45.1,14,14,14.34
2026-04-03,Ward_B,36.1,60.7,47.1,18,19,19.38
2026-04-03,Ward_B,42.3,81.0,41.9,20,21,22.18
2026-04-04,Ward_B,22.3,23.5,47.1,13,13,12.52
2026-04-04,Ward_B,32.2,40.5,40.3,18,18,16.28
2026-04-04,Ward_B,38.2,51.9,45.2,19,20,18.84
2026-04-04,Ward_B,45.3,94.3,47.2,20,21,24.83
2026-04-05,Ward_B,19.8,10.8,48.3,16,17,12.94
2026-04-05,Ward_B,30.2,45.6,44.3,16,17,15.57
2026-04-05,Ward_B,36.5,57.1,43.6,17,18,18.09
2026-04-05,Ward_B,46.1,80.5,46.6,20,19,22.88
2026-04-06,Ward_B,21.8,9.3,46.7,11,10,11.07
2026-04-06,Ward_B,32.2,47.1,49.4,16,16,16.54
2026-04-06,Ward_B,35.5,68.2,43.9,19,19,19.87
2026-04-06,Ward_B,41.1,96.6,49.2,22,23,25.43
2026-04-07,Ward_B,17.2,21.2,46.9,13,14,12.68
2026-04-07,Ward_B,28.5,25.3,43.8,17,17,14.83
2026-04-07,Ward_B,37.3,65.5,43.9,19,20,19.74
2026-04-07,Ward_B,44.6,80.7,46.0,21,21,23.35
2026-04-08,Ward_B,24.8,14.7,46.2,17,16,13.58
2026-04-08,Ward_B,27.5,48.2,44.1,17,17,16.13
2026-04-08,Ward_B,35.6,59.3,42.3,19,19,18.53
2026-04-08,Ward_B,46.3,81.4,47.8,20,21,23.79
2026-04-18,Ward_B,19.3,2.0,45.5,15,15,12.21
2026-04-18,Ward_B,30.9,48.9,46.8,16,17,16.69
2026-04-18,Ward_B,34.0,67.2,45.5,18,18,19.36
2026-04-18,Ward_B,46.0,93.9,44.5,20,20,24.32
2026-04-19,Ward_B,16.9,10.9,48.7,16,15,13.09
2026-04-19,Ward_B,30.2,36.1,45.5,17,17,15.48
2026-04-19,Ward_B,37.3,66.1,44.7,19,19,19.96
2026-04-19,Ward_B,40.9,90.6,42.9,21,20,23.61
2026-04-20,Ward_B,21.6,9.9,46.8,14,14,12.25
2026-04-20,Ward_B,27.3,44.6,43.8,16,17,15.2
2026-04-20,Ward_B,33.8,60.8,45.7,16,17,17.78
2026-04-20,Ward_B,43.3,90.5,45.1,22,21,24.43
2026-04-21,Ward_B,19.3,22.3,40.9,15,15,12.0
2026-04-21,Ward_B,30.1,35.4,44.6,16,15,15.22
2026-04-21,Ward_B,36.0,64.9,45.3,20,19,19.65
2026-04-21,Ward_B,45.6,95.0,47.3,22,23,25.7
2026-04-22,Ward_B,17.9,5.2,45.1,13,12,11.48
2026-04-22,Ward_B,32.4,35.4,39.2,18,17,15.38
2026-04-22,Ward_B,35.1,58.2,49.1,17,17,18.26
2026-04-22,Ward_B,40.8,95.2,42.6,21,22,23.94
2026-04-23,Ward_B,24.7,22.6,44.8,14,15,12.94
2026-04-23,Ward_B,30.1,26.2,44.5,16,15,13.74
2026-04-23,Ward_B,33.5,48.5,44.8,17,18,16.92
2026-04-23,Ward_B,45.6,98.8,47.6,21,21,25.73
2026-04-24,Ward_B,24.2,19.9,40.6,18,17,13.61
2026-04-24,Ward_B,32.4,35.8,44.9,19,19,16.88
2026-04-24,Ward_B,38.5,54.9,44.8,19,20,19.29
2026-04-24,Ward_B,44.6,79.8,42.9,20,19,22.53
2026-04-25,Ward_B,19.2,9.6,46.4,12,13,11.49
2026-04-25,Ward_B,30.6,30.1,43.0,16,15,14.45
2026-04-25,Ward_B,37.6,69.0,48.2,19,19,20.53
2026-04-25,Ward_B,40.9,78.4,44.4,19,18,21.14
2026-04-26,Ward_B,23.1,20.4,45.0,14,15,13.51
2026-04-26,Ward_B,28.2,34.1,42.7,18,18,15.28
2026-04-26,Ward_B,35.9,55.5,47.0,18,18,18.6
2026-04-26,Ward_B,43.8,88.0,46.9,20,20,23.83
2026-04-27,Ward_B,16.5,5.7,41.0,13,12,11.25
2026-04-27,Ward_B,27.4,28.5,44.9,15,16,14.46
2026-04-27,Ward_B,34.2,51.8,43.5,19,20,17.98
2026-04-27,Ward_B,39.1,82.8,44.1,21,22,22.66
2026-04-28,Ward_B,16.0,0.0,51.0,13,14,12.15
2026-04-28,Ward_B,29.1,34.8,38.4,15,14,13.95
2026-04-28,Ward_B,38.2,72.4,47.3,19,18,20.43
2026-04-28,Ward_B,39.5,80.0,46.0,19,19,21.77
2026-05-09,Ward_B,18.5,17.1,42.9,15,15,12.36
2026-05-09,Ward_B,29.4,47.3,44.2,19,20,17.53
2026-05-09,Ward_B,36.5,74.9,47.0,20,20,21.44
2026-05-09,Ward_B,42.4,87.0,46.3,20,20,23.68
2026-05-10,Ward_B,20.9,18.8,45.2,14,15,12.88
2026-05-10,Ward_B,30.9,35.9,45.2,17,17,15.39
2026-05-10,Ward_B,36.7,54.6,45.4,18,17,18.23
2026-05-10,Ward_B,42.6,77.6,46.2,20,19,22.06
2026-05-11,Ward_B,17.5,3.6,43.9,15,16,12.47
2026-05-11,Ward_B,32.9,40.2,43.7,16,17,15.91
2026-05-11,Ward_B,33.2,72.3,43.7,20,20,20.22
2026-05-11,Ward_B,40.5,85.0,45.3,19,18,21.87
2026-05-12,Ward_B,22.0,14.7,46.8,17,18,13.67
2026-05-12,Ward_B,31.7,38.8,48.3,16,16,15.74
2026-05-12,Ward_B,38.8,73.8,44.1,18,18,20.42
2026-05-12,Ward_B,46.4,80.6,49.9,22,22,24.38
2026-05-13,Ward_B,18.3,9.0,45.8,15,15,12.03
2026-05-13,Ward_B,31.8,31.5,49.1,18,17,16.81
2026-05-13,Ward_B,38.4,63.0,45.0,20,19,20.15
2026-05-13,Ward_B,42.6,88.7,47.6,19,18,23.49
2026-05-14,Ward_B,21.9,13.2,44.5,15,16,12.72
2026-05-14,Ward_B,31.9,36.5,44.5,16,16,15.8
2026-05-14,Ward_B,36.6,64.8,43.5,18,17,18.96
2026-05-14,Ward_B,40.1,75.8,47.1,19,19,21.51
2026-07-06,Ward_C,22.2,18.3,69.4,21,20,16.79
2026-07-06,Ward_C,31.4,29.0,70.4,23,23,19.75
2026-07-06,Ward_C,33.4,64.5,71.6,23,24,22.99
2026-07-06,Ward_C,46.1,95.6,68.2,27,27,30.19
2026-07-07,Ward_C,19.5,0.0,70.1,19,19,15.45
2026-07-07,Ward_C,28.8,40.8,70.8,22,22,19.55
2026-07-07,Ward_C,35.0,66.1,70.9,27,27,25.3
2026-07-07,Ward_C,39.3,93.7,75.4,26,26,29.19
2026-07-08,Ward_C,25.8,7.9,72.3,21,21,17.62
2026-07-08,Ward_C,32.1,51.4,72.3,23,24,22.06
2026-07-08,Ward_C,35.0,63.9,73.3,25,26,24.34
2026-07-08,Ward_C,40.7,94.2,64.6,28,27,28.99
2026-07-09,Ward_C,16.3,20.6,72.3,21,21,17.18
2026-07-09,Ward_C,31.2,48.0,65.8,22,22,20.67
2026-07-09,Ward_C,35.7,68.7,70.2,27,28,25.33
2026-07-09,Ward_C,44.5,87.8,69.4,27,26,29.23
2026-07-10,Ward_C,25.4,26.3,73.2,22,23,18.78
2026-07-10,Ward_C,32.1,34.5,69.7,22,22,20.03
2026-07-10,Ward_C,38.6,57.4,67.3,24,23,23.42
2026-07-10,Ward_C,45.0,78.8,73.1,26,26,28.0
2026-07-11,Ward_C,24.2,13.2,72.4,21,21,17.86
2026-07-11,Ward_C,29.8,25.3,67.3,20,21,17.49
2026-07-11,Ward_C,34.5,65.9,71.9,24,25,24.1
2026-07-11,Ward_C,42.5,97.6,68.5,29,29,30.8
2026-07-12,Ward_C,20.4,17.8,74.3,22,21,17.54
2026-07-12,Ward_C,29.8,40.1,72.7,20,20,19.91
2026-07-12,Ward_C,38.2,66.5,66.9,25,24,24.24
2026-07-12,Ward_C,44.7,82.3,68.2,27,27,28.67
2026-07-13,Ward_C,25.8,11.3,71.1,21,22,17.27
2026-07-13,Ward_C,26.5,38.3,72.7,24,24,21.17
2026-07-13,Ward_C,33.5,71.9,66.7,23,23,23.83
2026-07-13,Ward_C,44.0,76.0,67.8,25,24,26.67
2026-07-14,Ward_C,16.4,1.3,71.3,17,18,14.84
2026-07-14,Ward_C,32.7,48.1,70.1,21,22,20.86
2026-07-14,Ward_C,35.7,64.8,72.1,25,26,25.07
2026-07-14,Ward_C,39.3,95.2,75.4,26,26,29.88
2026-08-01,Ward_C,17.9,16.4,71.3,20,21,16.62
2026-08-01,Ward_C,28.4,47.0,68.1,24,23,20.55
2026-08-01,Ward_C,36.3,61.5,69.9,23,23,23.29
2026-08-01,Ward_C,45.6,90.4,66.5,25,26,28.98
2026-08-02,Ward_C,17.8,15.4,69.9,23,22,17.52
2026-08-02,Ward_C,28.5,26.1,68.2,21,20,18.1
2026-08-02,Ward_C,35.9,59.3,67.8,22,21,22.37
2026-08-02,Ward_C,39.7,86.7,68.6,29,28,28.66
2026-08-15,Ward_C,22.8,2.9,71.4,21,22,16.83
2026-08-15,Ward_C,28.8,38.3,72.1,24,25,20.66
2026-08-15,Ward_C,35.3,62.1,74.7,26,25,24.13
2026-08-15,Ward_C,43.5,88.9,71.9,27,27,29.31
2026-08-16,Ward_C,20.2,20.7,73.5,22,22,17.87
2026-08-16,Ward_C,32.5,28.3,71.0,22,22,19.64
2026-08-16,Ward_C,35.3,71.5,70.7,26,27,25.44
2026-08-16,Ward_C,46.0,82.1,67.9,25,25,27.25
2026-08-17,Ward_C,20.4,17.8,72.6,22,22,17.58
2026-08-17,Ward_C,27.2,39.0,75.1,23,22,20.3
2026-08-17,Ward_C,35.4,54.0,69.4,23,23,22.67
2026-08-17,Ward_C,43.6,97.2,68.8,27,28,30.36
2026-08-18,Ward_C,23.9,18.1,66.8,19,19,16.68
2026-08-18,Ward_C,28.2,39.5,73.5,21,21,19.88
2026-08-18,Ward_C,36.8,71.1,69.9,26,26,25.63
2026-08-18,Ward_C,41.1,92.8,72.0,27,26,29.52
2026-08-19,Ward_C,17.3,15.7,71.9,21,20,16.85
2026-08-19,Ward_C,26.9,27.9,67.6,22,21,18.18
2026-08-19,Ward_C,38.0,67.8,69.7,25,24,24.58
2026-08-19,Ward_C,40.7,96.2,70.9,29,30,30.42
2026-08-20,Ward_C,20.4,2.1,74.0,18,19,16.03
2026-08-20,Ward_C,31.6,30.9,67.8,22,22,19.47
2026-08-20,Ward_C,34.4,51.0,69.0,24,23,22.29
2026-08-20,Ward_C,43.1,97.9,71.3,27,28,30.57
2026-08-21,Ward_C,17.6,7.8,65.7,19,18,15.62
2026-08-21,Ward_C,31.6,40.0,70.3,22,23,20.99
2026-08-21,Ward_C,33.0,48.6,68.9,21,22,21.12
2026-08-21,Ward_C,39.7,95.4,67.0,27,26,29.31
2026-08-22,Ward_C,18.4,4.3,69.6,21,21,16.9
2026-08-22,Ward_C,31.6,42.4,71.0,22,22,20.22
2026-08-22,Ward_C,33.4,67.9,68.3,25,26,24.42
2026-08-22,Ward_C,44.6,90.2,68.8,27,26,29.05
2026-08-23,Ward_C,17.5,9.1,68.5,21,20,16.38
2026-08-23,Ward_C,32.3,35.5,71.9,22,22,20.27
2026-08-23,Ward_C,34.8,60.0,73.4,23,24,23.61
2026-08-23,Ward_C,44.7,79.9,69.4,26,25,27.81
2026-08-24,Ward_C,17.7,2.2,69.2,22,21,16.46
2026-08-24,Ward_C,30.7,46.0,71.1,22,23,20.93
2026-08-24,Ward_C,37.2,52.2,70.4,24,23,22.6
2026-08-24,Ward_C,41.1,78.5,70.9,26,25,27.28
2026-08-25,Ward_C,24.6,16.1,74.5,20,20,17.32
2026-08-25,Ward_C,30.1,29.6,71.6,22,23,19.11
2026-08-25,Ward_C,34.0,65.2,68.2,25,24,23.99
2026-08-25,Ward_C,43.2,92.1,67.0,27,26,29.24
2026-08-26,Ward_C,16.6,10.6,69.7,19,18,16.19
2026-08-26,Ward_C,28.2,30.0,70.4,23,22,18.94
2026-08-26,Ward_C,38.3,62.6,68.7,23,23,23.74
2026-08-26,Ward_C,42.9,94.6,64.5,27,27,29.25
2026-08-27,Ward_C,20.0,11.4,71.9,19,20,16.34
2026-08-27,Ward_C,28.7,39.4,70.8,23,24,20.74
2026-08-27,Ward_C,37.6,51.2,71.9,23,23,22.0
2026-08-27,Ward_C,40.5,95.7,66.4,26,27,28.88
2026-08-28,Ward_C,20.9,16.6,72.8,20,20,16.65
2026-08-28,Ward_C,29.1,35.9,72.3,24,24,20.34
2026-08-28,Ward_C,37.7,65.6,67.5,25,24,24.08
2026-08-28,Ward_C,42.8,77.9,73.1,28,28,28.07
2026-11-01,Ward_D,19.0,22.3,80.6,26,27,19.72
2026-11-01,Ward_D,31.1,30.7,85.7,27,27,22.69
2026-11-01,Ward_D,36.1,57.4,88.4,29,28,26.94
2026-11-01,Ward_D,42.3,89.2,78.7,31,30,31.2
2026-11-02,Ward_D,19.8,10.8,78.2,24,23,18.54
2026-11-02,Ward_D,32.9,49.6,83.9,27,27,24.7
2026-11-02,Ward_D,34.7,69.7,87.6,30,31,28.56
2026-11-02,Ward_D,41.4,92.4,87.7,34,33,33.87
2026-11-03,Ward_D,16.5,19.9,88.6,26,26,20.55
2026-11-03,Ward_D,31.7,48.3,80.9,29,29,24.53
2026-11-03,Ward_D,37.2,75.5,87.7,30,29,29.3
2026-11-03,Ward_D,42.6,87.4,85.6,32,31,32.28
2026-11-04,Ward_D,16.6,3.0,84.3,24,23,18.52
2026-11-04,Ward_D,27.0,32.2,84.1,29,28,22.6
2026-11-04,Ward_D,35.3,67.9,85.9,31,30,27.98
2026-11-04,Ward_D,44.6,88.7,84.9,32,31,32.75
2026-11-05,Ward_D,18.6,4.7,84.5,25,25,19.19
2026-11-05,Ward_D,29.0,39.2,87.0,28,28,23.56
2026-11-05,Ward_D,37.9,75.0,87.2,30,29,29.49
2026-11-05,Ward_D,45.6,98.4,84.7,31,31,33.7
2026-11-06,Ward_D,20.3,20.7,83.2,26,27,20.27
2026-11-06,Ward_D,26.9,40.3,85.3,29,30,23.44
2026-11-06,Ward_D,38.0,52.2,84.1,29,29,26.35
2026-11-06,Ward_D,41.1,78.7,88.2,30,31,31.13
2026-11-07,Ward_D,20.1,8.2,82.2,25,26,19.17
2026-11-07,Ward_D,27.2,45.0,86.5,28,29,23.89
2026-11-07,Ward_D,33.6,63.4,87.7,31,31,27.93
2026-11-07,Ward_D,45.9,85.2,86.3,32,33,33.29
2026-11-08,Ward_D,24.8,12.1,86.2,26,26,20.52
2026-11-08,Ward_D,32.1,31.9,83.5,26,25,22.12
2026-11-08,Ward_D,34.9,68.1,89.5,29,29,28.4
2026-11-08,Ward_D,44.7,89.4,84.2,33,34,33.44
2026-11-09,Ward_D,18.0,12.3,81.9,26,25,19.41
2026-11-09,Ward_D,28.1,40.5,86.8,29,28,23.86
2026-11-09,Ward_D,33.1,64.1,80.7,30,31,27.12
2026-11-09,Ward_D,41.3,80.0,86.8,30,30,31.21
2026-11-10,Ward_D,17.8,0.0,83.5,26,25,19.23
2026-11-10,Ward_D,32.1,26.6,86.9,26,26,21.9
2026-11-10,Ward_D,37.3,53.8,82.1,29,28,26.04
2026-11-10,Ward_D,44.4,91.9,84.4,31,31,32.78
2026-11-11,Ward_D,21.2,3.0,87.9,25,24,19.45
2026-11-11,Ward_D,29.2,46.4,79.6,29,29,23.91
2026-11-11,Ward_D,35.7,51.9,89.8,30,30,26.7
2026-11-11,Ward_D,41.5,91.1,88.6,32,33,33.24
2026-11-12,Ward_D,23.9,15.5,81.7,26,26,19.7
2026-11-12,Ward_D,26.1,33.5,88.5,28,28,22.66
2026-11-12,Ward_D,36.4,58.8,87.1,31,30,27.43
2026-11-12,Ward_D,39.1,89.8,87.1,32,31,32.56
2026-11-13,Ward_D,25.5,23.9,84.9,26,27,21.59
2026-11-13,Ward_D,32.4,45.6,87.2,28,29,24.84
2026-11-13,Ward_D,37.0,57.5,89.4,30,30,27.37
2026-11-13,Ward_D,39.0,94.3,86.2,33,32,33.37
2026-11-14,Ward_D,22.5,14.5,85.1,25,26,19.69
2026-11-14,Ward_D,26.7,29.4,89.6,27,26,22.09
2026-11-14,Ward_D,35.3,60.8,88.7,30,31,27.9
2026-11-14,Ward_D,39.7,84.4,87.7,31,31,31.33
2026-11-15,Ward_D,23.9,6.8,84.9,24,25,19.13
2026-11-15,Ward_D,31.8,28.2,86.9,26,25,22.24
2026-11-15,Ward_D,35.2,64.6,80.6,31,32,27.94
2026-11-15,Ward_D,39.2,79.9,90.3,32,31,31.38
2026-11-16,Ward_D,23.6,20.4,82.6,27,27,20.63
2026-11-16,Ward_D,30.2,47.7,87.2,29,29,24.75
2026-11-16,Ward_D,36.1,54.2,84.0,29,28,25.75
2026-11-16,Ward_D,41.2,75.9,86.5,32,32,30.87
2026-11-17,Ward_D,25.8,22.2,81.1,27,26,20.81
2026-11-17,Ward_D,29.0,31.4,85.9,29,28,22.8
2026-11-17,Ward_D,33.2,64.4,83.9,28,29,26.88
2026-11-17,Ward_D,39.4,74.7,81.0,30,30,29.28
2026-11-18,Ward_D,19.9,19.3,83.0,23,24,19.35
2026-11-18,Ward_D,26.7,46.0,85.6,29,28,24.15
2026-11-18,Ward_D,37.8,65.9,88.1,30,30,28.97
2026-11-18,Ward_D,46.0,86.2,83.4,31,30,32.35
2026-11-22,Ward_D,21.8,14.5,90.2,27,27,21.23
2026-11-22,Ward_D,32.8,32.0,83.6,25,24,21.96
2026-11-22,Ward_D,33.2,65.7,82.2,30,31,27.25
2026-11-22,Ward_D,40.1,84.6,83.8,31,32,31.16
2026-11-23,Ward_D,16.2,5.2,88.9,24,23,19.07
2026-11-23,Ward_D,30.0,41.2,83.9,29,29,23.65
2026-11-23,Ward_D,36.6,66.2,87.4,32,33,29.33
2026-11-23,Ward_D,40.0,75.6,80.6,29,29,28.81
2026-11-24,Ward_D,23.5,26.0,86.4,26,27,20.86
2026-11-24,Ward_D,30.9,45.7,85.3,29,30,24.63
2026-11-24,Ward_D,36.1,52.7,84.4,26,26,24.65
2026-11-24,Ward_D,41.2,94.8,89.0,33,33,34.07
2026-11-25,Ward_D,19.3,9.8,84.5,25,26,19.37
2026-11-25,Ward_D,32.3,30.9,91.4,27,28,23.18
2026-11-25,Ward_D,35.8,74.5,82.7,30,30,28.3
2026-11-25,Ward_D,45.2,99.1,81.2,31,31,33.44
2026-11-26,Ward_D,24.0,21.0,82.7,27,26,21.15
2026-11-26,Ward_D,29.1,40.1,86.1,28,27,23.79
2026-11-26,Ward_D,34.5,58.2,83.5,29,30,26.33
2026-11-26,Ward_D,43.2,87.7,85.4,32,33,32.89
2026-11-27,Ward_D,23.9,4.7,82.3,26,27,19.66
2026-11-27,Ward_D,28.9,49.3,87.9,30,30,25.43
2026-11-27,Ward_D,34.2,64.2,79.8,29,28,26.23
2026-11-27,Ward_D,41.7,93.4,82.8,33,32,32.84
2026-11-28,Ward_D,23.4,25.2,85.8,25,25,20.57
2026-11-28,Ward_D,26.7,24.0,83.1,26,26,21.1
2026-11-28,Ward_D,36.2,71.5,83.8,31,32,29.06
2026-11-28,Ward_D,46.2,89.9,82.8,33,32,32.97
